Date,Year,Month,Tmin,Tmean,Tmax
1900-01,1900,1,31.4,42.2,53
1900-02,1900,2,25.2,38,50.8
1900-03,1900,3,38.3,50.3,62.2
1900-04,1900,4,48.3,60.7,73.2
1900-05,1900,5,55.4,67.4,79.4
1900-06,1900,6,64.7,75,85.2
1900-07,1900,7,67.9,78.5,89
1900-08,1900,8,66.6,79.6,92.6
1900-09,1900,9,65.4,76.2,87
1900-10,1900,10,53,65.6,78.3
1900-11,1900,11,37.7,50.3,63
1900-12,1900,12,32.1,43.6,55.1
1901-01,1901,1,32.3,43.7,55.1
1901-02,1901,2,28.2,39.8,51.3
1901-03,1901,3,37.2,49.5,61.9
1901-04,1901,4,44.4,57.2,69.9
1901-05,1901,5,54.3,67.1,79.9
1901-06,1901,6,64.5,78.7,92.8
1901-07,1901,7,68.4,83.6,98.7
1901-08,1901,8,66.6,80.6,94.7
1901-09,1901,9,57.5,72,86.6
1901-10,1901,10,48.2,63.4,78.5
1901-11,1901,11,35.9,49.1,62.2
1901-12,1901,12,26.4,37.1,47.9
1902-01,1902,1,25.3,36.4,47.4
1902-02,1902,2,23.7,33.4,43
1902-03,1902,3,40.2,51.4,62.6
1902-04,1902,4,47.5,59.8,72.2
1902-05,1902,5,60.6,72.3,84
1902-06,1902,6,64,76.1,88.2
1902-07,1902,7,67.1,79.1,91.1
1902-08,1902,8,66.7,79.9,93.2
1902-09,1902,9,53.9,67.3,80.8
1902-10,1902,10,47.9,61.9,75.9
1902-11,1902,11,45,54.9,64.7
1902-12,1902,12,30.3,39,47.7
1903-01,1903,1,28.4,38.4,48.5
1903-02,1903,2,29,39,49.1
1903-03,1903,3,43,53.8,64.7
1903-04,1903,4,46.8,59.9,73.1
1903-05,1903,5,56.5,66.4,76.4
1903-06,1903,6,57.2,69.5,81.9
1903-07,1903,7,66.8,78.7,90.7
1903-08,1903,8,65.6,78.1,90.7
1903-09,1903,9,55.2,69.2,83.3
1903-10,1903,10,46.6,59.7,72.9
1903-11,1903,11,31.8,45.9,60
1903-12,1903,12,25.6,39.5,53.5
1904-01,1904,1,24.7,37.6,50.5
1904-02,1904,2,30.8,42.4,54.1
1904-03,1904,3,40.3,53.8,67.3
1904-04,1904,4,42.5,55.6,68.6
1904-05,1904,5,53.1,66.4,79.7
1904-06,1904,6,62.4,74.3,86.2
1904-07,1904,7,64.2,76.7,89.3
1904-08,1904,8,64.2,77.1,90
1904-09,1904,9,61.4,74.4,87.4
1904-10,1904,10,45.5,61.3,77.2
1904-11,1904,11,34.8,50.3,65.8
1904-12,1904,12,28.3,42,55.8
1905-01,1905,1,19.7,31.9,44.1
1905-02,1905,2,19.5,31,42.5
1905-03,1905,3,41.6,55.4,69.1
1905-04,1905,4,47.5,59.3,71.2
1905-05,1905,5,58.4,68.7,79
1905-06,1905,6,64.8,76.1,87.4
1905-07,1905,7,64.5,74.8,85.2
1905-08,1905,8,65.4,77.8,90.2
1905-09,1905,9,59.7,72.3,84.9
1905-10,1905,10,46.4,59.5,72.6
1905-11,1905,11,37.1,51.7,66.4
1905-12,1905,12,26.1,36.6,47
1906-01,1906,1,28.8,41.6,54.5
1906-02,1906,2,26.6,40.1,53.5
1906-03,1906,3,32.2,42.4,52.6
1906-04,1906,4,47.8,62.1,76.3
1906-05,1906,5,53,66.2,79.4
1906-06,1906,6,61.5,73.8,86.2
1906-07,1906,7,62.5,74.8,87
1906-08,1906,8,64.2,76.3,88.3
1906-09,1906,9,62.3,74,85.7
1906-10,1906,10,43.8,56.9,69.9
1906-11,1906,11,34.2,48.3,62.3
1906-12,1906,12,35.7,45.6,55.4
1907-01,1907,1,36.8,47.5,58.2
1907-02,1907,2,30.7,43,55.3
1907-03,1907,3,48.5,60.8,73.2
1907-04,1907,4,42.7,53.6,64.5
1907-05,1907,5,50.8,61.9,73
1907-06,1907,6,62,73.9,85.8
1907-07,1907,7,67.9,81.2,94.6
1907-08,1907,8,68.7,81.8,95
1907-09,1907,9,58.5,73,87.5
1907-10,1907,10,48,61.2,74.5
1907-11,1907,11,33.6,46.8,60
1907-12,1907,12,33.7,43.7,53.8
1908-01,1908,1,28.9,39.6,50.4
1908-02,1908,2,32.3,42.8,53.3
1908-03,1908,3,45.8,58.3,70.8
1908-04,1908,4,49.6,61.7,73.9
1908-05,1908,5,57.9,68.5,79.2
1908-06,1908,6,64.2,75,85.9
1908-07,1908,7,66.4,79.2,92
1908-08,1908,8,66.8,78.6,90.4
1908-09,1908,9,59.9,72.8,85.7
1908-10,1908,10,43.9,58.5,73.1
1908-11,1908,11,38.6,52.2,65.8
1908-12,1908,12,33.2,45.4,57.7
1909-01,1909,1,32.6,42.3,51.9
1909-02,1909,2,33,45.9,58.8
1909-03,1909,3,39.4,51.3,63.3
1909-04,1909,4,47,59.4,71.8
1909-05,1909,5,53.2,65.1,77
1909-06,1909,6,63.6,75.2,86.9
1909-07,1909,7,68.4,81.5,94.6
1909-08,1909,8,67.1,82.5,97.9
1909-09,1909,9,58.5,73.5,88.6
1909-10,1909,10,46.5,62.2,77.8
1909-11,1909,11,45,57.5,70.1
1909-12,1909,12,24,34.4,44.8
1910-01,1910,1,28.5,40.9,53.2
1910-02,1910,2,25.4,37.9,50.4
1910-03,1910,3,44.1,59.6,75.2
1910-04,1910,4,45.4,58.6,71.8
1910-05,1910,5,52.8,64.6,76.4
1910-06,1910,6,60.6,72.8,85
1910-07,1910,7,67.6,78.5,89.5
1910-08,1910,8,66.4,77.9,89.5
1910-09,1910,9,62.1,75.5,88.9
1910-10,1910,10,49.2,62.3,75.5
1910-11,1910,11,35.6,49.9,64.1
1910-12,1910,12,28.4,39.5,50.6
1911-01,1911,1,34.8,45.7,56.7
1911-02,1911,2,36.5,47.5,58.6
1911-03,1911,3,40.6,54,67.5
1911-04,1911,4,47,58.8,70.5
1911-05,1911,5,55.7,69.4,83.2
1911-06,1911,6,65.5,79.8,94.2
1911-07,1911,7,66.3,77.6,88.8
1911-08,1911,8,66.6,76.6,86.6
1911-09,1911,9,64.8,77.5,90.2
1911-10,1911,10,50.1,61.6,73.2
1911-11,1911,11,32,45.3,58.7
1911-12,1911,12,32,41.7,51.5
1912-01,1912,1,20,32.1,44.2
1912-02,1912,2,23.9,35.5,47.1
1912-03,1912,3,34,44,54
1912-04,1912,4,49.1,60.2,71.2
1912-05,1912,5,55.7,68.4,81.1
1912-06,1912,6,59.4,71.8,84.3
1912-07,1912,7,68.1,80.7,93.3
1912-08,1912,8,65,78.4,91.9
1912-09,1912,9,59.1,74.1,89.1
1912-10,1912,10,48.8,62.9,77
1912-11,1912,11,35.7,49.5,63.2
1912-12,1912,12,29.4,41,52.6
1913-01,1913,1,30.6,41.6,52.7
1913-02,1913,2,29.1,39.7,50.2
1913-03,1913,3,35.6,48.5,61.5
1913-04,1913,4,47.1,60.1,73.1
1913-05,1913,5,55.4,68.5,81.6
1913-06,1913,6,62.3,76.9,91.6
1913-07,1913,7,68.2,81,93.7
1913-08,1913,8,66.9,81.7,96.5
1913-09,1913,9,59.5,70.6,81.7
1913-10,1913,10,47.7,59.4,71
1913-11,1913,11,44.8,55.7,66.7
1913-12,1913,12,35.4,43,50.7
1914-01,1914,1,32.5,44.4,56.3
1914-02,1914,2,27.5,39.4,51.3
1914-03,1914,3,37.1,49.3,61.4
1914-04,1914,4,48.2,60.9,73.6
1914-05,1914,5,56.4,69,81.6
1914-06,1914,6,69,82.9,96.8
1914-07,1914,7,70.1,82.5,94.8
1914-08,1914,8,67.3,78,88.6
1914-09,1914,9,61.7,73.6,85.4
1914-10,1914,10,50.3,62,73.8
1914-11,1914,11,37.9,52,66.1
1914-12,1914,12,27.8,35,42.2
1915-01,1915,1,27.8,37.9,48
1915-02,1915,2,33.7,44.3,54.9
1915-03,1915,3,30.8,41.3,51.7
1915-04,1915,4,49.5,63.2,77
1915-05,1915,5,55.6,68,80.5
1915-06,1915,6,62.4,74.2,86
1915-07,1915,7,64.9,78.1,91.3
1915-08,1915,8,63.2,73.9,84.5
1915-09,1915,9,61.7,73.9,86.2
1915-10,1915,10,47.9,62.3,76.7
1915-11,1915,11,40.1,53.7,67.3
1915-12,1915,12,32.8,43.4,54
1916-01,1916,1,30.6,41.2,51.8
1916-02,1916,2,30.2,41.7,53.2
1916-03,1916,3,39.8,52.9,66
1916-04,1916,4,47.6,59,70.4
1916-05,1916,5,58.8,70.7,82.7
1916-06,1916,6,62.5,74.6,86.7
1916-07,1916,7,70.4,83.5,96.6
1916-08,1916,8,68.4,81.3,94.3
1916-09,1916,9,58.5,71.6,84.7
1916-10,1916,10,47.2,62.2,77.3
1916-11,1916,11,38,51.6,65.1
1916-12,1916,12,28.5,40.4,52.2
1917-01,1917,1,30.8,42.6,54.5
1917-02,1917,2,28.5,42.4,56.3
1917-03,1917,3,39.3,51.6,64
1917-04,1917,4,46.5,59.8,73.2
1917-05,1917,5,49.3,62.2,75.1
1917-06,1917,6,61,74.6,88.2
1917-07,1917,7,66.7,79.2,91.6
1917-08,1917,8,64.1,77.2,90.3
1917-09,1917,9,57.8,71.7,85.5
1917-10,1917,10,39.9,56.6,73.2
1917-11,1917,11,35.7,50,64.4
1917-12,1917,12,22.4,33.1,43.8
1918-01,1918,1,13,24.5,36
1918-02,1918,2,31.4,45.1,58.8
1918-03,1918,3,43.1,57.1,71
1918-04,1918,4,45.6,59,72.3
1918-05,1918,5,58.8,71.5,84.2
1918-06,1918,6,67,80.4,93.8
1918-07,1918,7,64.1,79.6,95.2
1918-08,1918,8,68.3,83,97.7
1918-09,1918,9,53.1,66.6,80.1
1918-10,1918,10,53.6,64.7,75.9
1918-11,1918,11,37.6,48.8,60
1918-12,1918,12,36.7,46.6,56.6
1919-01,1919,1,28.3,39.9,51.5
1919-02,1919,2,30.5,42.8,55.1
1919-03,1919,3,39.1,52.4,65.8
1919-04,1919,4,47.5,61.4,75.3
1919-05,1919,5,55.3,66.1,77
1919-06,1919,6,65.1,76.9,88.7
1919-07,1919,7,67.3,80.9,94.5
1919-08,1919,8,67.2,80.7,94.2
1919-09,1919,9,60.7,74.1,87.5
1919-10,1919,10,56.3,66.2,76
1919-11,1919,11,37.2,49.8,62.5
1919-12,1919,12,26.9,38.3,49.8
1920-01,1920,1,27.4,37.9,48.4
1920-02,1920,2,32.5,44,55.6
1920-03,1920,3,37.7,50.1,62.6
1920-04,1920,4,45.5,59.2,72.8
1920-05,1920,5,58.6,69.7,80.8
1920-06,1920,6,60.7,73.7,86.8
1920-07,1920,7,67.2,79.7,92.2
1920-08,1920,8,64.2,75.8,87.4
1920-09,1920,9,61.3,73.5,85.7
1920-10,1920,10,51.2,63.5,75.8
1920-11,1920,11,34.7,46.8,58.9
1920-12,1920,12,31.4,41.9,52.3
1921-01,1921,1,34.4,44.8,55.1
1921-02,1921,2,34.2,46.2,58.2
1921-03,1921,3,47.1,59.4,71.7
1921-04,1921,4,45.8,58.5,71.3
1921-05,1921,5,54.9,68.3,81.7
1921-06,1921,6,66.6,78,89.5
1921-07,1921,7,68.9,82.1,95.2
1921-08,1921,8,69,80.9,92.9
1921-09,1921,9,67.1,79.2,91.4
1921-10,1921,10,44.5,60.9,77.3
1921-11,1921,11,39.7,53,66.4
1921-12,1921,12,34.3,45.4,56.6
1922-01,1922,1,27.9,37.4,47
1922-02,1922,2,34.8,45.8,56.8
1922-03,1922,3,38.7,50,61.3
1922-04,1922,4,49.4,62.6,75.7
1922-05,1922,5,58,69.8,81.6
1922-06,1922,6,64.8,78.2,91.5
1922-07,1922,7,67.9,79.7,91.6
1922-08,1922,8,66.8,80.2,93.7
1922-09,1922,9,59.4,75.8,92.2
1922-10,1922,10,47.3,62.7,78
1922-11,1922,11,38.2,50.6,62.9
1922-12,1922,12,33.9,44.8,55.7
1923-01,1923,1,34.2,46.3,58.3
1923-02,1923,2,28.8,39.7,50.5
1923-03,1923,3,34.5,47.6,60.7
1923-04,1923,4,48.3,60.6,72.9
1923-05,1923,5,55.8,66.2,76.5
1923-06,1923,6,64.3,75.9,87.6
1923-07,1923,7,68.3,79.3,90.3
1923-08,1923,8,68,80.4,92.7
1923-09,1923,9,60.5,71.4,82.4
1923-10,1923,10,45.6,57.2,68.8
1923-11,1923,11,36.3,48.6,60.9
1923-12,1923,12,38,48.1,58.3
1924-01,1924,1,22.2,33.4,44.6
1924-02,1924,2,29.5,40.9,52.3
1924-03,1924,3,33.6,44.4,55.3
1924-04,1924,4,46.4,59.6,72.8
1924-05,1924,5,49.1,62.5,76
1924-06,1924,6,64,76.3,88.5
1924-07,1924,7,63.5,77.5,91.5
1924-08,1924,8,66,80.6,95.2
1924-09,1924,9,54.4,68,81.5
1924-10,1924,10,46.1,63.4,80.6
1924-11,1924,11,36.1,50.4,64.7
1924-12,1924,12,26.8,39.2,51.6
1925-01,1925,1,26.3,38.3,50.2
1925-02,1925,2,33.4,47.1,60.9
1925-03,1925,3,37.9,53.3,68.6
1925-04,1925,4,52,65.5,78.9
1925-05,1925,5,52.5,67.2,81.9
1925-06,1925,6,67.8,81.7,95.5
1925-07,1925,7,68.3,80.8,93.3
1925-08,1925,8,64.4,79.5,94.5
1925-09,1925,9,65.7,79.3,93
1925-10,1925,10,47.1,57.7,68.3
1925-11,1925,11,36.4,48.5,60.6
1925-12,1925,12,27.9,38.7,49.5
1926-01,1926,1,28.1,38.7,49.3
1926-02,1926,2,35.2,47.2,59.2
1926-03,1926,3,35.4,47.3,59.2
1926-04,1926,4,42.9,56.9,70.8
1926-05,1926,5,54.8,69.1,83.5
1926-06,1926,6,62.4,76.1,89.8
1926-07,1926,7,66.2,80.7,95.2
1926-08,1926,8,67.7,80,92.3
1926-09,1926,9,63.7,75.5,87.3
1926-10,1926,10,52.2,63.4,74.6
1926-11,1926,11,33.9,45.5,57.2
1926-12,1926,12,31,40.8,50.6
1927-01,1927,1,30,39.9,49.8
1927-02,1927,2,38.3,50.3,62.2
1927-03,1927,3,40.7,51.6,62.5
1927-04,1927,4,53.2,64.4,75.7
1927-05,1927,5,59.1,70.1,81.1
1927-06,1927,6,63.4,74.6,85.7
1927-07,1927,7,66.2,78.7,91.2
1927-08,1927,8,64.6,75,85.4
1927-09,1927,9,61.7,74.5,87.3
1927-10,1927,10,49.5,64.8,80.1
1927-11,1927,11,42.8,54.4,65.9
1927-12,1927,12,27.9,39.1,50.3
1928-01,1928,1,28.3,40.6,52.8
1928-02,1928,2,32.7,43.9,55.2
1928-03,1928,3,38.3,50.8,63.4
1928-04,1928,4,44,55.8,67.7
1928-05,1928,5,55,68.1,81.2
1928-06,1928,6,61.5,71.5,81.5
1928-07,1928,7,67.5,79.4,91.2
1928-08,1928,8,68.6,80.6,92.6
1928-09,1928,9,54.2,69.1,84.1
1928-10,1928,10,52.1,65.3,78.5
1928-11,1928,11,37.3,48.5,59.7
1928-12,1928,12,30,41.9,53.8
1929-01,1929,1,26,36.3,46.7
1929-02,1929,2,22.6,32.6,42.6
1929-03,1929,3,42.2,54,65.7
1929-04,1929,4,50.9,62.5,74.1
1929-05,1929,5,54.6,66.1,77.5
1929-06,1929,6,62,74.5,87
1929-07,1929,7,67.1,80.1,93.2
1929-08,1929,8,64.6,80,95.3
1929-09,1929,9,59.1,72.4,85.7
1929-10,1929,10,48.8,61.1,73.4
1929-11,1929,11,33.4,44.7,56
1929-12,1929,12,32.4,43.3,54.2
1930-01,1930,1,20.5,31.4,42.2
1930-02,1930,2,37.6,50.4,63.1
1930-03,1930,3,36,48.6,61.2
1930-04,1930,4,48.9,63.3,77.8
1930-05,1930,5,55.2,66.6,78
1930-06,1930,6,60,74.9,89.8
1930-07,1930,7,67.5,84,100.6
1930-08,1930,8,65.4,80.7,96
1930-09,1930,9,61.9,74.3,86.7
1930-10,1930,10,47.2,58.5,69.8
1930-11,1930,11,37.3,48.9,60.4
1930-12,1930,12,29.6,39.4,49.2
1931-01,1931,1,29.2,40,50.9
1931-02,1931,2,35.5,46.5,57.5
1931-03,1931,3,35.2,45.8,56.4
1931-04,1931,4,45.1,57.7,70.3
1931-05,1931,5,51.9,63.8,75.7
1931-06,1931,6,64.1,76.9,89.7
1931-07,1931,7,68.7,80.5,92.4
1931-08,1931,8,64.2,75.7,87.2
1931-09,1931,9,63.3,77.1,90.9
1931-10,1931,10,52.9,66,79.1
1931-11,1931,11,45.7,56.1,66.5
1931-12,1931,12,37.9,47.2,56.6
1932-01,1932,1,33.9,44.5,55
1932-02,1932,2,37.4,49.8,62.2
1932-03,1932,3,35.3,47.4,59.4
1932-04,1932,4,50,62.9,75.8
1932-05,1932,5,55.7,68.3,80.9
1932-06,1932,6,66.3,77.8,89.3
1932-07,1932,7,70.4,82.3,94.1
1932-08,1932,8,67.5,81,94.6
1932-09,1932,9,60,73.1,86.2
1932-10,1932,10,46,59.6,73.3
1932-11,1932,11,32.2,44.8,57.4
1932-12,1932,12,28.5,38.5,48.5
1933-01,1933,1,36.3,47,57.6
1933-02,1933,2,27.9,39.7,51.5
1933-03,1933,3,39,50.8,62.7
1933-04,1933,4,47.4,59.9,72.5
1933-05,1933,5,58.8,70.4,81.9
1933-06,1933,6,62.6,77.5,92.4
1933-07,1933,7,69.3,80.8,92.4
1933-08,1933,8,67,77.8,88.7
1933-09,1933,9,65.7,77.4,89
1933-10,1933,10,48.3,61.2,74.1
1933-11,1933,11,38.7,51.6,64.5
1933-12,1933,12,36.1,47,57.9
1934-01,1934,1,32.2,42.7,53.1
1934-02,1934,2,27.9,39.9,51.9
1934-03,1934,3,34.6,47.9,61.3
1934-04,1934,4,48.7,61.5,74.4
1934-05,1934,5,55.3,68.8,82.2
1934-06,1934,6,66.8,80.3,93.9
1934-07,1934,7,70.1,85.3,100.5
1934-08,1934,8,70.9,84.3,97.8
1934-09,1934,9,57.6,70.2,82.8
1934-10,1934,10,50.5,65,79.4
1934-11,1934,11,39.8,52.6,65.5
1934-12,1934,12,29.6,40.1,50.5
1935-01,1935,1,30.8,42,53.1
1935-02,1935,2,33.1,45,56.9
1935-03,1935,3,45.5,57.2,68.8
1935-04,1935,4,48.1,58.9,69.7
1935-05,1935,5,55.7,65.5,75.3
1935-06,1935,6,62.5,73,83.6
1935-07,1935,7,69.5,81.5,93.5
1935-08,1935,8,67.8,81.2,94.6
1935-09,1935,9,57.1,72.1,87.1
1935-10,1935,10,51.2,62.9,74.6
1935-11,1935,11,38.3,48.8,59.2
1935-12,1935,12,27.1,37.3,47.6
1936-01,1936,1,24,35.4,46.8
1936-02,1936,2,24.6,35.1,45.5
1936-03,1936,3,42.5,56.4,70.2
1936-04,1936,4,44.4,59,73.5
1936-05,1936,5,57,69.6,82.2
1936-06,1936,6,63.6,79,94.4
1936-07,1936,7,69.6,82.8,96.1
1936-08,1936,8,68.6,84.5,100.4
1936-09,1936,9,65.3,78,90.8
1936-10,1936,10,47.3,60,72.6
1936-11,1936,11,34.1,48,61.9
1936-12,1936,12,33.4,44,54.5
1937-01,1937,1,30.4,38.9,47.4
1937-02,1937,2,30.9,42.4,54
1937-03,1937,3,34.9,47.1,59.3
1937-04,1937,4,47,60.2,73.5
1937-05,1937,5,56.7,69.4,82.1
1937-06,1937,6,65.5,77.5,89.4
1937-07,1937,7,66.9,79.3,91.6
1937-08,1937,8,68.7,81.7,94.6
1937-09,1937,9,59.3,71.3,83.2
1937-10,1937,10,46.9,59.8,72.7
1937-11,1937,11,35.2,46.6,58
1937-12,1937,12,31.9,40.2,48.5
1938-01,1938,1,28.8,40,51.1
1938-02,1938,2,38.2,48.8,59.4
1938-03,1938,3,45.9,58.7,71.4
1938-04,1938,4,48.2,60.4,72.6
1938-05,1938,5,57.1,68.7,80.2
1938-06,1938,6,63.2,74.8,86.4
1938-07,1938,7,68.3,81.8,95.2
1938-08,1938,8,68.9,82.6,96.4
1938-09,1938,9,59.4,74.7,90
1938-10,1938,10,48.1,65.4,82.7
1938-11,1938,11,34.5,48.8,63.1
1938-12,1938,12,30.9,42.3,53.7
1939-01,1939,1,32.1,43.6,55.1
1939-02,1939,2,29.3,41,52.6
1939-03,1939,3,40.6,53.7,66.7
1939-04,1939,4,45.3,57.7,70.2
1939-05,1939,5,56.1,67.9,79.7
1939-06,1939,6,66,76.5,87
1939-07,1939,7,68.5,81.2,93.8
1939-08,1939,8,66,78.5,91
1939-09,1939,9,63,79,95.1
1939-10,1939,10,48.8,64.3,79.8
1939-11,1939,11,35.4,47.8,60.2
1939-12,1939,12,34,45.6,57.2
1940-01,1940,1,16.3,26.5,36.6
1940-02,1940,2,30.5,40.4,50.3
1940-03,1940,3,37.2,49.9,62.6
1940-04,1940,4,47.4,58.9,70.5
1940-05,1940,5,52.4,65.6,78.8
1940-06,1940,6,63,74.4,85.9
1940-07,1940,7,67.8,78.1,88.4
1940-08,1940,8,64.9,77,89.1
1940-09,1940,9,56.3,70.3,84.3
1940-10,1940,10,48.2,64.1,80.1
1940-11,1940,11,35.6,47.5,59.4
1940-12,1940,12,34,45.6,57.2
1941-01,1941,1,30.9,41.7,52.5
1941-02,1941,2,28.2,39,49.8
1941-03,1941,3,33.2,45.7,58.2
1941-04,1941,4,50.1,62.3,74.4
1941-05,1941,5,57,69.5,82
1941-06,1941,6,62.5,74.6,86.6
1941-07,1941,7,67.8,80.4,92.9
1941-08,1941,8,66.8,79.3,91.8
1941-09,1941,9,60.7,73.4,86.1
1941-10,1941,10,55.5,66.1,76.7
1941-11,1941,11,35,47.9,60.8
1941-12,1941,12,32.5,42.3,52.2
1942-01,1942,1,22.3,35.3,48.2
1942-02,1942,2,27.3,38,48.7
1942-03,1942,3,37.3,50.3,63.3
1942-04,1942,4,48.1,60.1,72.1
1942-05,1942,5,53.4,65.2,77
1942-06,1942,6,64,75.4,86.8
1942-07,1942,7,66.7,80.1,93.4
1942-08,1942,8,65.2,76.9,88.6
1942-09,1942,9,56.3,69.6,82.9
1942-10,1942,10,46.6,61.2,75.9
1942-11,1942,11,39.2,51.8,64.5
1942-12,1942,12,31.1,40.9,50.7
1943-01,1943,1,25.2,39.8,54.5
1943-02,1943,2,29.4,45.2,61
1943-03,1943,3,31.2,44,56.8
1943-04,1943,4,47.5,61,74.6
1943-05,1943,5,57,68.2,79.4
1943-06,1943,6,66.3,78,89.7
1943-07,1943,7,67.3,82,96.8
1943-08,1943,8,67.1,83.4,99.8
1943-09,1943,9,56.2,70.9,85.5
1943-10,1943,10,46.1,59.7,73.3
1943-11,1943,11,33.1,48.4,63.7
1943-12,1943,12,29,39.3,49.7
1944-01,1944,1,29.1,40.8,52.5
1944-02,1944,2,34.5,46.2,58
1944-03,1944,3,36.3,48.5,60.7
1944-04,1944,4,46.2,58.1,70.1
1944-05,1944,5,57.1,68.5,79.9
1944-06,1944,6,65.1,77.4,89.7
1944-07,1944,7,66.2,80.7,95.2
1944-08,1944,8,67.3,79,90.7
1944-09,1944,9,59.7,73.4,87.2
1944-10,1944,10,47.6,63.7,79.8
1944-11,1944,11,41.9,52.2,62.6
1944-12,1944,12,26.1,36.5,46.9
1945-01,1945,1,27.1,38.3,49.5
1945-02,1945,2,30.5,41.2,51.9
1945-03,1945,3,44.4,56.9,69.4
1945-04,1945,4,50.5,61.9,73.4
1945-05,1945,5,52.7,64.6,76.5
1945-06,1945,6,62.8,73.5,84.3
1945-07,1945,7,65.6,77.4,89.3
1945-08,1945,8,65.1,78.3,91.5
1945-09,1945,9,60.2,72.4,84.6
1945-10,1945,10,46,59.6,73.1
1945-11,1945,11,38.7,51.4,64.2
1945-12,1945,12,24.4,35.4,46.4
1946-01,1946,1,27.8,38.9,50.1
1946-02,1946,2,32.3,45.6,58.9
1946-03,1946,3,44.8,56.5,68.1
1946-04,1946,4,50.6,63.2,75.8
1946-05,1946,5,53.4,64.3,75.3
1946-06,1946,6,61.1,73.4,85.7
1946-07,1946,7,66.6,79.5,92.4
1946-08,1946,8,64.3,77.3,90.2
1946-09,1946,9,56.4,71,85.6
1946-10,1946,10,46.7,62.4,78.1
1946-11,1946,11,40.1,52.1,64.1
1946-12,1946,12,35.1,47.5,59.8
1947-01,1947,1,30.6,40.6,50.6
1947-02,1947,2,22.2,35.7,49.3
1947-03,1947,3,30.9,42.6,54.4
1947-04,1947,4,47.8,60.6,73.3
1947-05,1947,5,52.8,65.4,78.1
1947-06,1947,6,63,75,87
1947-07,1947,7,64,77.5,91
1947-08,1947,8,68.8,84,99.2
1947-09,1947,9,59.1,74.9,90.8
1947-10,1947,10,52.8,67.1,81.5
1947-11,1947,11,35.7,46.1,56.6
1947-12,1947,12,30.2,42.7,55.2
1948-01,1948,1,21.4,32.2,42.9
1948-02,1948,2,30.3,40.2,50.1
1948-03,1948,3,37.2,48.6,60
1948-04,1948,4,51.2,65,78.9
1948-05,1948,5,55.3,67.2,79.1
1948-06,1948,6,62.8,75.8,88.8
1948-07,1948,7,66.7,78.6,90.4
1948-08,1948,8,64.1,76.5,88.9
1948-09,1948,9,56.5,71.7,87
1948-10,1948,10,42.4,59,75.7
1948-11,1948,11,36.3,49.5,62.6
1948-12,1948,12,31.7,42.6,53.6
1949-01,1949,1,30.6,40,49.3
1949-02,1949,2,31.5,44.5,57.5
1949-03,1949,3,36.6,48.7,60.8
1949-04,1949,4,46.4,59,71.5
1949-05,1949,5,57.6,69.7,81.9
1949-06,1949,6,65.7,76.7,87.7
1949-07,1949,7,69.2,80.2,91.2
1949-08,1949,8,64.2,76.8,89.3
1949-09,1949,9,53.8,67.7,81.7
1949-10,1949,10,50.4,62,73.6
1949-11,1949,11,34.1,50.9,67.6
1949-12,1949,12,31.5,43.4,55.3
1950-01,1950,1,33.1,44.6,56.1
1950-02,1950,2,31.9,44.4,56.9
1950-03,1950,3,34.2,47.2,60.2
1950-04,1950,4,43.6,56.5,69.5
1950-05,1950,5,57.1,67.2,77.4
1950-06,1950,6,63.1,74.4,85.6
1950-07,1950,7,64.6,75.3,86
1950-08,1950,8,62.2,73.8,85.3
1950-09,1950,9,58.4,68.7,79.1
1950-10,1950,10,51.8,65.1,78.5
1950-11,1950,11,31.9,45.4,58.9
1950-12,1950,12,25.4,37.4,49.3
1951-01,1951,1,26.8,39.3,51.7
1951-02,1951,2,29.8,42.5,55.3
1951-03,1951,3,36.2,49.5,62.9
1951-04,1951,4,43.9,56.8,69.7
1951-05,1951,5,53.3,67.5,81.8
1951-06,1951,6,62.9,74.1,85.3
1951-07,1951,7,68.2,79.1,89.9
1951-08,1951,8,66.8,79.7,92.6
1951-09,1951,9,56.9,69.8,82.7
1951-10,1951,10,48.7,62.2,75.8
1951-11,1951,11,31.7,43.3,54.8
1951-12,1951,12,30.9,42.3,53.6
1952-01,1952,1,33.6,45,56.4
1952-02,1952,2,34,46.3,58.7
1952-03,1952,3,36.3,48.8,61.2
1952-04,1952,4,44.2,57.3,70.3
1952-05,1952,5,54.2,67.9,81.7
1952-06,1952,6,67.3,81.6,95.9
1952-07,1952,7,67.4,82.2,97
1952-08,1952,8,66.5,80.7,94.9
1952-09,1952,9,53.1,70.3,87.6
1952-10,1952,10,37.4,56.1,74.7
1952-11,1952,11,35.7,48.5,61.3
1952-12,1952,12,32.1,42.2,52.3
1953-01,1953,1,31.8,43.5,55.2
1953-02,1953,2,32.7,44.8,56.9
1953-03,1953,3,41.6,54.4,67.2
1953-04,1953,4,43.5,56.6,69.8
1953-05,1953,5,57.5,68.9,80.3
1953-06,1953,6,68.2,82.6,97
1953-07,1953,7,66.9,80.1,93.4
1953-08,1953,8,63.3,79.1,94.8
1953-09,1953,9,54.6,74,93.4
1953-10,1953,10,47.4,63.9,80.4
1953-11,1953,11,33.2,48.5,63.8
1953-12,1953,12,28.3,40.1,52
1954-01,1954,1,27.4,39.1,50.9
1954-02,1954,2,34.2,49.2,64.1
1954-03,1954,3,36.1,49,61.9
1954-04,1954,4,52,65.2,78.5
